Rank;Name;URL;;;;;;;;;;;
31;The analysis of complex crack growth using the partition of unity method;https://research.tue.nl/en/studentTheses/the-analysis-of-complex-crack-growth-using-the-partition-of-unity/;;;;;;;;;;;
32;Design of a Robot for the Autonomous Installation of Threaded Fasteners in Wind Turbines;https://research.tue.nl/en/studentTheses/design-of-a-robot-for-the-autonomous-installation-of-threaded-fas/;;;;;;;;;;;
33;Immersed methods for modeling complex microstructures of composite materials;https://research.tue.nl/en/studentTheses/immersed-methods-for-modeling-complex-microstructures-of-composit/;;;;;;;;;;;
34;Arbitrary crack propagation and nucleation in porous materials;https://research.tue.nl/en/studentTheses/arbitrary-crack-propagation-and-nucleation-in-porous-materials/;;;;;;;;;;;
35;On the use of a crystal plasticity framework for modelling fiber reinforced composites;https://research.tue.nl/en/studentTheses/on-the-use-of-a-crystal-plasticity-framework-for-modelling-fiber-/;;;;;;;;;;;
36;Analysis and homogenization of ray tracing and a DEM framework to a Finite Element Model;https://research.tue.nl/en/studentTheses/analysis-and-homogenization-of-ray-tracing-and-a-dem-framework-to/;;;;;;;;;;;
37;Architectural design of a deployment mechanism for the Keck II telescope's adaptive secondary mirror, including research into the implications of using CFRP for its backing structure;https://research.tue.nl/en/studentTheses/architectural-design-of-a-deployment-mechanism-for-the-keck-ii-te/;;;;;;;;;;;
38;Mechanics of adhesive versus cohesive fracture at a micro-patterned polymer-metal interface;https://research.tue.nl/en/studentTheses/mechanics-of-adhesive-versus-cohesive-fracture-at-a-micro-pattern/;;;;;;;;;;;
39;Development of a Composite Air Bearing with a Flexure Hinge;https://research.tue.nl/en/studentTheses/development-of-a-composite-air-bearing-with-a-flexure-hinge/;;;;;;;;;;;
40;Towards improved modeling of the oblique moving deformable crash test barrier;https://research.tue.nl/en/studentTheses/towards-improved-modeling-of-the-oblique-moving-deformable-crash-/;;;;;;;;;;;
41;Towards a Wavelet-Galerkin method for computational homogenization;https://research.tue.nl/en/studentTheses/towards-a-wavelet-galerkin-method-for-computational-homogenizatio/;;;;;;;;;;;
42;Development of optimal L-PBF process parameters using an accelerated numerical simulation;https://research.tue.nl/en/studentTheses/development-of-optimal-l-pbf-process-parameters-using-an-accelera/;;;;;;;;;;;
43;Developing a Power Cycling Lifetime Model for SiC MOSFETs Under Conditions of Short On-Time and Low Junction Temperature Swings;https://research.tue.nl/en/studentTheses/developing-a-power-cycling-lifetime-model-for-sic-mosfets-under-c/;;;;;;;;;;;
44;Numerical prediction of wrinkle formation in laminar composites;https://research.tue.nl/en/studentTheses/numerical-prediction-of-wrinkle-formation-in-laminar-composites/;;;;;;;;;;;
45;Simulation of buckling of thin-walled structures using isogeometric analysis;https://research.tue.nl/en/studentTheses/simulation-of-buckling-of-thin-walled-structures-using-isogeometr/;;;;;;;;;;;
46;Isogeometric finite cell analysis of woven composites;https://research.tue.nl/en/studentTheses/isogeometric-finite-cell-analysis-of-woven-composites/;;;;;;;;;;;
47;Real-Time Simulation of Elastoplastic Contact Using Convolutional Autoencoders and LSTM Networks;https://research.tue.nl/en/studentTheses/real-time-simulation-of-elastoplastic-contact-using-convolutional/;;;;;;;;;;;
48;Modeling of Cable Slab Hysteresis with Nonlinear Beam Elements;https://research.tue.nl/en/studentTheses/modeling-of-cable-slab-hysteresis-with-nonlinear-beam-elements/;;;;;;;;;;;
49;Immersogeometric analysis of bed-based additive manufacturing processes;https://research.tue.nl/en/studentTheses/immersogeometric-analysis-of-bed-based-additive-manufacturing-pro/;;;;;;;;;;;
50;Compressive failure of 2D woven composites;https://research.tue.nl/en/studentTheses/compressive-failure-of-2d-woven-composites/;;;;;;;;;;;
